extracted_text,llm_label,bioportal_prefLabel,ontology_uri,ontology,mapping_backend,mapping_error,chunk,start,end,source_pass,context,source_chunk_path
basal ganglia,BRAIN_STRUCTURE,basal ganglia disease,http://www.ebi.ac.uk/efo/EFO_0009533,EFO,local,,chunk_000,356,369,llm_pass1,cale spatial taxonomy identifies the precise locations of 60 neuronal and glial cell types of human basal ganglia. • MERFISH+ and Stereo-seq platforms map consistent spatial modules that align with classical neur,/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_000.txt
MERFISH+,Technique,basal ganglia disease,http://www.ebi.ac.uk/efo/EFO_0009533,EFO,local,,chunk_000,374,382,llm_masked_pass,omy identifies the precise locations of 60 neuronal and glial cell types of human basal ganglia. • MERFISH+ and Stereo-seq platforms map consistent spatial modules that align with classical neuroanatomical n,/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_000.txt
Stereo-seq,Technique,stereo fundus camera,http://purl.jp/bio/4/id/201606013852084525,IOBC,local,,chunk_000,387,397,llm_masked_pass,s the precise locations of 60 neuronal and glial cell types of human basal ganglia. • MERFISH+ and Stereo-seq platforms map consistent spatial modules that align with classical neuroanatomical nuclei. • D1D2,/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_000.txt
D1D2 hybrid MSNs,CellType,intergeneric hybrid,http://purl.jp/bio/4/id/200906041920464810,IOBC,local,,chunk_000,492,508,llm_masked_pass,o-seq platforms map consistent spatial modules that align with classical neuroanatomical nuclei. • D1D2 hybrid MSNs and primate-expanded interneurons show regional and domain specific organization • Subcellular RNA,/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_000.txt
interneurons,CellType,Commissural Interneurons,http://purl.jp/bio/4/id/201506074924587030,IOBC,local,,chunk_000,530,542,llm_masked_pass,modules that align with classical neuroanatomical nuclei. • D1D2 hybrid MSNs and primate-expanded interneurons show regional and domain specific organization • Subcellular RNA localization reports soma morphol,/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_000.txt
Subcellular RNA localization,Technique,subcellular protein localization assay,http://purl.obolibrary.org/obo/OBI_0002167,OBO,local,,chunk_000,593,621,llm_masked_pass,"1D2 hybrid MSNs and primate-expanded interneurons show regional and domain specific organization • Subcellular RNA localization reports soma morphology and projection-inferred signatures. SUMMARY We generated a multi-region,",/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_000.txt
basal ganglia,BRAIN_STRUCTURE,basal ganglia disease,http://www.ebi.ac.uk/efo/EFO_0009533,EFO,local,,chunk_000,786,799,llm_pass1,"MARY We generated a multi-region, subcellular-resolution spatial transcriptomic atlas of the human basal ganglia by integrating MERFISH+ and Stereo-seq across four neurotypical donors. These datasets profiled ~7",/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_000.txt
neurotypical donors,HUMAN_DONOR,neurotypical person,http://purl.obolibrary.org/obo/GSSO_009609,GSSO,local,,chunk_000,851,870,llm_pass1,"transcriptomic atlas of the human basal ganglia by integrating MERFISH+ and Stereo-seq across four neurotypical donors. These datasets profiled ~7 million cells spanning the caudate, putamen, nucleus accumbens, and glo",/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_000.txt
caudate,BrainRegion,Fusion of the caudate and putamen,http://purl.obolibrary.org/obo/HP_0034180,UPHENO,local,,chunk_000,926,933,llm_masked_pass,"d Stereo-seq across four neurotypical donors. These datasets profiled ~7 million cells spanning the caudate, putamen, nucleus accumbens, and globus pallidus, resolving 60 transcriptionally distinct cell type",/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_000.txt
putamen,BRAIN_STRUCTURE,Putamen or Globus Pallidus,http://purl.obolibrary.org/obo/NCIT_C182245,BERO,local,,chunk_000,935,942,llm_pass1,"seq across four neurotypical donors. These datasets profiled ~7 million cells spanning the caudate, putamen, nucleus accumbens, and globus pallidus, resolving 60 transcriptionally distinct cell types. We sh",/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_000.txt
